Generation;Lower fitness;Higher fitness;Average fitness
426;203;1259,599976;873,5263038
427;203;1259,599976;861,1046877
428;203;2943,267578;849,2614934
429;203;1547;863,5247339
430;203;1227;842,5682779
431;49,28586578;1611;829,2550279
432;203;1115,599976;852,4403647
433;203;1115,599976;890,587119
434;203;1547,599976;837,4706672
435;203;1547;831,5400946
436;203;1547;889,8106858
437;203;2235,971436;873,8392248
438;203;1307,599976;883,2241315
439;203;1227,599976;883,6188228
440;203;1227,599976;855,1272121
441;203;1227;875,6156219
442;191,2415924;1560,693604;884,1485742
443;203;1547,599976;888,6419139
444;203;1259,599976;888,2986335
445;203;1403,599976;835,4217333
446;203;1115;879,4863878
447;203;1547;888,1850022
448;203;2843;895,8772556
449;203;1510,760376;921,9275842
450;203;1307,599976;912,1689408
451;203;1115,599976;882,1378001
452;203;1259,599976;923,2782268
453;203;1067,599976;903,2088232
454;203;1259;900,7470786
455;203;1259;916,4164641
456;203;1115,599976;911,4871474
457;203;1067,741089;905,3503911
458;203;1067,599976;919,630994
459;203;1067,599976;910,5350671
460;203;1547,599976;944,2150596
461;203;2949,703613;951,6307346
462;203;1307,599976;868,1617032
463;203;1547,599976;919,94492
464;203;1227;886,5548759
465;203;1227,599976;898,7694201
466;203;1067,599976;907,9839145
467;203;1510,760376;894,9937368
468;203;1227,599976;876,2241531
469;186,1125946;1067,599976;905,3615272
470;203;1259,599976;891,5543198
471;32;1115,599976;899,5146235
472;203;1115,599976;897,2369112
473;203;1227;929,9262907
474;203;1227,599976;899,5113493
475;203;1227;894,8573914
476;203;1259,599976;906,7411472
477;203;1115,599976;926,5673175
478;203;1547,599976;957,7098555
479;203;1547;971,6771842
480;203;1227;925,5316855
481;203;1547,599976;937,8418918
482;203;1067,599976;891,7088305
483;203;1115,599976;936,9758092
484;203;1067,599976;952,1467295
485;203;1067,599976;929,4327798
486;203;1115;952,9505115
487;203;1115,599976;937,0812907
488;203;1115,599976;919,825484
489;203;1259,599976;957,6159446
490;203;1259;913,003445
491;203;1067,599976;904,6398658
492;203;1067,599976;923,3800929
493;203;1067,599976;934,2511527
494;203;1259,599976;919,4258941
495;201,8659973;1115,599976;901,6489721
496;203;1067,599976;924,6037026
497;203;1115;967,930045
498;203;1067,599976;944,5231797
499;203;1259,599976;936,8756311
500;203;1067,599976;930,7305265
501;203;1569,252686;920,697489
502;202,4958496;1227;909,7047601
503;203;1227,599976;882,6509728
504;203;1067,599976;926,7611121
505;203;1115,599976;917,0219614
506;203;2943,867676;948,8240458
507;203;1067,599976;926,621981
508;203;1067,599976;950,4402981
509;203;1067,599976;957,3139174
